ko_id	category1	category2	function	Arabidopsis_thaliana.batch_run_hsds_id	Arabidopsis_thaliana.batch_run_hsds_genes	Arabidopsis_thaliana.batch_run_hsds_num	Chlamydomonas_reinhardtii.batch_run_hsds_id	Chlamydomonas_reinhardtii.batch_run_hsds_genes	Chlamydomonas_reinhardtii.batch_run_hsds_num
K08489	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	STX16; syntaxin 16	NP_198050.1	NP_198050.1; NP_001031950.1; NP_001331924.1; NP_850519.1; NP_566256.1; NP_567223.1	1			
K08490	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	STX5; syntaxin 5	NP_189078.2	NP_189078.2; NP_001189961.1	1			
K08492	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	STX18; syntaxin 18	NP_564597.1	NP_564597.1; NP_001323219.1	1			
K08495	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	GOSR1, GOS1; golgi SNAP receptor complex member 1	NP_182045.1	NP_182045.1; NP_001189748.1	1	XP_001695317.1	XP_001695317.1; XP_042923964.1; XP_042923965.1	1
K08496	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	GOSR2, BOS1; golgi SNAP receptor complex member 2	NP_181227.1, NP_199855.1	NP_181227.1; NP_001323573.1; NP_001154560.1, NP_199855.1; NP_001330036.1	2			
K08503	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	SYP5; syntaxin of plants SYP5	NP_563994.1, NP_683311.2	NP_563994.1; NP_001031054.1; NP_001323228.1; NP_001077546.1, NP_683311.2; NP_001319019.1; NP_683311.2; NP_001323129.1; NP_001323130.1; NP_001319019.1	2			
K08504	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	BET1; blocked early in transport 1	NP_191376.1	NP_191376.1; NP_849384.1	1			
K08505	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	SFT1; protein transport protein SFT1	NP_564319.1	NP_564319.1; NP_567434.1; NP_001321073.1	1			
K08506	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	SYP7; syntaxin of plants SYP7	NP_567114.1, NP_566878.1	NP_567114.1; NP_001190153.1; NP_001326529.1; NP_001326526.1; NP_001326527.1; NP_001326528.1, NP_566878.1; NP_001319688.1	2	XP_001700030.1	XP_001700030.1; XP_001700031.1	1
K08507	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	USE1; unconventional SNARE in the endoplasmic reticulum protein 1	NP_567024.1, NP_564649.1	NP_567024.1; NP_001325966.1, NP_564649.1; NP_001320884.1; NP_001320883.1	2			
K08515	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	VAMP7; vesicle-associated membrane protein 7	NP_180106.1, NP_196676.1	NP_180106.1; NP_194942.1, NP_196676.1; NP_001331552.1	2			
K08516	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	YKT6; synaptobrevin homolog YKT6	NP_200614.1	NP_200614.1; NP_001154785.1; NP_001318826.1; NP_200626.1	1			
K08517	09123 Folding, sorting and degradation	04130 SNARE interactions in vesicular transport [PATH:ko04130]	SEC22; vesicle transport protein SEC22	NP_001318788.1	NP_001318788.1; NP_001331102.1	1			
K08770	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBC; ubiquitin C	NP_566357.1, NP_564675.1, NP_176714.4	NP_566357.1; NP_001319513.1, NP_564675.1; NP_001031585.1; NP_001118936.1; NP_567247.2; NP_567286.1; NP_849291.1, NP_176714.4; NP_001031824.1; NP_001332370.1; NP_568112.2; NP_851029.1; NP_568397.1; NP_001118922.1; NP_001328998.1; NP_849292.1; NP_974516.4; NP_001078353.4; NP_567291.4; NP_849300.4; NP_568552.1	3	XP_042917192.1, XP_001700995.2	XP_042917192.1; XP_042922306.1; XP_042922305.1, XP_001700995.2; XP_042919316.1	2
K03178	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE1, UBA1; ubiquitin-activating enzyme E1 	NP_565693.1	NP_565693.1; NP_568168.1	1			
K10684	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBLE1A, SAE1; ubiquitin-like 1-activating enzyme E1 A 	NP_567712.1	NP_567712.1; NP_568732.2; NP_568741.1; NP_001032050.1; NP_851162.1	1			
K10685	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBLE1B, SAE2, UBA2; ubiquitin-like 1-activating enzyme E1 B 	NP_187224.1	NP_187224.1; NP_001030645.1	1			
K10686	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE1C, UBA3; ubiquitin-activating enzyme E1 C 	NP_568370.1	NP_568370.1; NP_001332355.1	1			
K10573	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2A, UBC2, RA6A; ubiquitin-conjugating enzyme E2 A 	NP_563951.1	NP_563951.1; NP_973825.1; NP_001325162.1; NP_001325163.1; NP_001325164.1; NP_565289.1	1	XP_001701556.1	XP_001701556.1; XP_001703225.1	1
K06688	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2C, UBC11; ubiquitin-conjugating enzyme E2 C 	NP_564572.1	NP_564572.1; NP_566653.1; NP_001078192.1	1			
K20217	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2E; ubiquitin-conjugating enzyme E2 E 	NP_566459.2	NP_566459.2; NP_001030691.1	1	XP_001690010.1	XP_001690010.1; XP_001699308.1; XP_001701577.1	1
K10576	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2H, UBC8; ubiquitin-conjugating enzyme E2 H 	NP_566062.1, NP_564817.2	NP_566062.1; NP_001318433.1; NP_001324871.1; NP_001324869.1; NP_001324870.1, NP_564817.2; NP_568589.1	2			
K10579	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2M, UBC12; ubiquitin-conjugating enzyme E2 M 	NP_565440.1, NP_568008.4	NP_565440.1; NP_001324430.1, NP_568008.4; NP_001154289.1	2			
K10580	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2N, BLU, UBC13; ubiquitin-conjugating enzyme E2 N 	NP_564011.1	NP_564011.1; NP_565192.1; NP_001185017.1; NP_849678.1; NP_001321618.1; NP_001319409.1; NP_001031298.1	1	XP_001690010.1	XP_001690010.1; XP_001699308.1; XP_001701577.1	1
K10581	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2O; ubiquitin-conjugating enzyme E2 O 	NP_179284.1	NP_179284.1; NP_001324377.1	1			
K10583	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2S, E2EPF; ubiquitin-conjugating enzyme E2 S 	NP_568148.1	NP_568148.1; NP_001078530.1; NP_001332673.1; NP_001332674.1	1			
K10688	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W 	NP_564493.1	NP_564493.1; NP_568619.1	1			
K04649	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	HIP2, UBC1; ubiquitin-conjugating enzyme (huntingtin interacting protein 2) 	NP_199900.1	NP_199900.1; NP_001190508.1	1			
K10588	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE3B; ubiquitin-protein ligase E3 B 	NP_190877.1	NP_190877.1; NP_001030850.1	1			
K10589	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	UBE3C; ubiquitin-protein ligase E3 C 	NP_188346.2	NP_188346.2; NP_001189915.1; NP_001118648.1	1			
K10590	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	TRIP12; E3 ubiquitin-protein ligase TRIP12 	NP_195908.1, NP_849567.2	NP_195908.1; NP_001331961.1, NP_849567.2; NP_001329354.1	2			
K04506	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	SIAH1; E3 ubiquitin-protein ligase SIAH1 	NP_200148.2, NP_187978.1, NP_198603.1, NP_181729.1	NP_200148.2; NP_001330825.1, NP_187978.1; NP_001319542.1; NP_001330826.1, NP_198603.1; NP_198607.1; NP_198605.2; NP_198606.1, NP_181729.1; NP_001326739.1; NP_191363.1; NP_181729.1; NP_001326739.1; NP_191363.1; NP_181729.1; NP_001326739.1; NP_191363.1; NP_181729.1; NP_001326739.1; NP_191363.1; NP_001326740.1	4			
K10144	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	RCHY1, PIRH2; RING finger and CHY zinc finger domain-containing protein 1 	NP_191856.4	NP_191856.4; NP_001325834.1; NP_001325835.1; NP_197366.1; NP_001318649.1; NP_001331055.1; NP_001331056.1; NP_197938.2; NP_197683.1; NP_001190397.1; NP_001330321.1; NP_001318650.1	1			
K03875	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	SKP2, FBXL1; F-box and leucine-rich repeat protein 1 (S-phase kinase-associated protein 2)	NP_564139.1	NP_564139.1; NP_001321134.1; NP_001185415.1; NP_565147.1	1			
K03873	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	ELOB, TCEB2; elongin-B	NP_568868.1	NP_568868.1; NP_851205.1; NP_851206.1	1			
K03869	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	CUL3; cullin 3	NP_177125.3	NP_177125.3; NP_001319357.1	1			
K10610	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	B1; NA damage-binding protein 1	NP_192451.1	NP_192451.1; NP_193842.1	1			
K10140	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	B2; NA damage-binding protein 2	NP_200684.2	NP_200684.2; NP_001332069.1	1			
K10570	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	ERCC8, CKN1, CSA; NA excision repair protein ERCC-8	NP_173405.2	NP_173405.2; NP_174105.2; NP_001031099.1	1			
K03358	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	APC11; anaphase-promoting complex subunit 11	NP_187238.2	NP_187238.2; NP_001189819.1; NP_001325492.1; NP_001325496.1; NP_001325493.1; NP_001325494.1; NP_001325495.1	1	XP_042917734.1	XP_042917734.1; XP_042917735.1	1
K03363	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	CC20; cell division cycle 20, cofactor of APC complex	NP_195052.1, NP_198042.1	NP_195052.1; NP_195053.1; NP_001190900.1, NP_198042.1; NP_198060.2; NP_198109.2	2			
K03364	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	CH1; cell division cycle 20-like protein 1, cofactor of APC complex	NP_196888.2, NP_192929.2	NP_196888.2; NP_001190305.1, NP_192929.2; NP_194022.3	2			
K03348	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	APC1; anaphase-promoting complex subunit 1	NP_001318485.1	NP_001318485.1; NP_001331419.1; NP_001331420.1	1			
K03350	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	APC3, CC27; anaphase-promoting complex subunit 3	NP_849994.1, NP_188253.3	NP_849994.1; NP_001323708.1, NP_188253.3; NP_001319567.1	2			
K03354	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	APC7; anaphase-promoting complex subunit 7	NP_850309.1	NP_850309.1; NP_001031513.1	1			
K12456	09123 Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	APC13; anaphase-promoting complex subunit 13	NP_565057.1	NP_565057.1; NP_001321718.1; NP_001321719.1	1			
K11996	09123 Folding, sorting and degradation	04122 Sulfur relay system [PATH:ko04122]	MOCS3, UBA4; adenylyltransferase and sulfurtransferase 	NP_200324.1	NP_200324.1; NP_001032076.1; NP_001330104.1	1			
K14168	09123 Folding, sorting and degradation	04122 Sulfur relay system [PATH:ko04122]	CTU1, NCS6; cytoplasmic tRNA 2-thiolation protein 1 	NP_177744.2	NP_177744.2; NP_001321961.1; NP_181956.2; NP_001321958.1; NP_001321960.1; NP_001321963.1; NP_001321959.1; NP_001321962.1	1			
K21232	09123 Folding, sorting and degradation	04122 Sulfur relay system [PATH:ko04122]	MOCS2A, CNXG; molybdopterin synthase sulfur carrier subunit	NP_567352.1	NP_567352.1; NP_001078366.1; NP_849354.1	1			
K03033	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM3, RPN3; 26S proteasome regulatory subunit N3	NP_173447.1	NP_173447.1; NP_177726.1	1			
K03035	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM12, RPN5; 26S proteasome regulatory subunit N5	NP_196552.1	NP_196552.1; NP_974758.1; NP_568994.2; NP_001032142.1; NP_001332553.1; NP_001119202.1	1			
K03036	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM11, RPN6; 26S proteasome regulatory subunit N6	NP_174210.1	NP_174210.1; NP_001323322.1	1			
K03037	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM6, RPN7; 26S proteasome regulatory subunit N7	NP_567709.1	NP_567709.1; NP_974611.1	1			
K03038	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM7, RPN8; 26S proteasome regulatory subunit N8	NP_187736.1	NP_187736.1; NP_001189859.1; NP_196197.1; NP_001190233.1	1			
K03039	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM13, RPN9; 26S proteasome regulatory subunit N9	NP_199375.2	NP_199375.2; NP_680721.2	1			
K03028	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSM2, RPN1; 26S proteasome regulatory subunit N1	NP_194576.5	NP_194576.5; NP_565477.1	1			
K06691	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	RPN13; 26S proteasome regulatory subunit N13	NP_565626.1	NP_565626.1; NP_001031424.1; NP_001031425.1; NP_001325357.1	1			
K03061	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMC2, RPT1; 26S proteasome regulatory subunit T1	NP_172384.1, NP_175781.4	NP_172384.1; NP_187204.1; NP_197500.1; NP_001318606.1; NP_568389.1; NP_175778.1, NP_175781.4; NP_001185216.1; NP_001185217.1; NP_001321046.1	2			
K03062	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMC1, RPT2; 26S proteasome regulatory subunit T2	NP_179604.1	NP_179604.1; NP_194633.1	1			
K03066	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMC5, RPT6; 26S proteasome regulatory subunit T6	NP_172384.1, NP_197500.1	NP_172384.1; NP_187204.1; NP_197500.1; NP_001318606.1; NP_568389.1; NP_175778.1, NP_197500.1; NP_001318606.1; NP_568389.1; NP_001331019.1	2			
K03064	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMC6, RPT4; 26S proteasome regulatory subunit T4	NP_175120.1	NP_175120.1; NP_199115.1; NP_001117440.1	1			
K03065	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMC3, RPT5; 26S proteasome regulatory subunit T5	NP_172384.1	NP_172384.1; NP_187204.1; NP_197500.1; NP_001318606.1; NP_568389.1; NP_175778.1	1			
K02730	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA6; 20S proteasome subunit alpha 1 	NP_178641.1	NP_178641.1; NP_198409.1; NP_001031340.1; NP_001324458.1	1			
K02726	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA2; 20S proteasome subunit alpha 2 	NP_173096.1	NP_173096.1; NP_001031057.1; NP_001077845.1; NP_001077846.1; NP_178042.1	1			
K02728	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA4; 20S proteasome subunit alpha 3 	NP_188850.1	NP_188850.1; NP_001190735.1	1			
K02731	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA7; 20S proteasome subunit alpha 4 	NP_190694.1	NP_190694.1; NP_001030838.1; NP_201415.1	1			
K02729	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA5; 20S proteasome subunit alpha 5 	NP_175788.1	NP_175788.1; NP_001077717.1; NP_188046.1	1			
K02725	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMA1; 20S proteasome subunit alpha 6 	NP_175158.1	NP_175158.1; NP_199093.1	1			
K02738	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB6; 20S proteasome subunit beta 1 	NP_194858.1	NP_194858.1; NP_001190879.1; NP_001031759.1	1	XP_001693037.1	XP_001693037.1; XP_042918661.1	1
K02739	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB7; 20S proteasome subunit beta 2 	NP_198874.1	NP_198874.1; NP_851108.1; NP_566818.1; NP_001190443.1; NP_001318715.1; NP_001189989.1; NP_850641.1	1			
K02735	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB3; 20S proteasome subunit beta 3 	NP_564149.1	NP_564149.1; NP_001031294.1; NP_565156.1	1			
K02734	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB2; 20S proteasome subunit beta 4 	NP_188902.1	NP_188902.1; NP_193216.1	1			
K02737	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB5; 20S proteasome subunit beta 5 	NP_172765.1, NP_001184978.1	NP_172765.1; NP_189265.1, NP_001184978.1; NP_001323153.1	2			
K02732	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	PSMB1; 20S proteasome subunit beta 6 	NP_191641.1	NP_191641.1; NP_001190146.1; NP_001030905.1	1			
K11599	09123 Folding, sorting and degradation	03050 Proteasome [PATH:ko03050]	POMP, UMP1; proteasome maturation protein	NP_198681.1	NP_198681.1; NP_564892.1	1			
K03681	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP40, EXOSC3; exosome complex component RRP40	NP_565592.1	NP_565592.1; NP_680755.2	1			
K12587	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	MTR3, EXOSC6; exosome complex component MTR3	NP_001320075.1	NP_001320075.1; NP_001328238.1; NP_001328241.1; NP_001328242.1; NP_001328239.1; NP_001328240.1; NP_001328243.1	1			
K12589	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP42, EXOSC7; exosome complex component RRP42	NP_566318.1	NP_566318.1; NP_001319497.1	1			
K11600	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP41, EXOSC4, SKI6; exosome complex component RRP41	NP_191721.1	NP_191721.1; NP_001118878.1	1			
K12590	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP46, EXOSC5; exosome complex component RRP46	NP_178726.1	NP_178726.1; NP_001030817.1; NP_001030818.1; NP_001030819.1; NP_001078250.1; NP_001190019.1; NP_001325681.1; NP_190207.1	1			
K03678	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP45, EXOSC9; exosome complex component RRP45	NP_191609.1	NP_191609.1; NP_001190143.1; NP_974466.1; NP_001327293.1; NP_001189874.1; NP_566441.1; NP_001327698.1; NP_001319535.1	1			
K12585	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	IS3, RRP44; exosome complex exonuclease IS3/RRP44 	NP_565418.1	NP_565418.1; NP_001189541.1	1			
K12591	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RRP6, EXOSC10; exosome complex exonuclease RRP6 	NP_175846.3	NP_175846.3; NP_001185222.1; NP_001323052.1; NP_001323051.1; NP_001323053.1	1			
K12593	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	MPHOSPH6, MPP6; M-phase phosphoprotein 6, animal type	NP_568908.1	NP_568908.1; NP_001330367.1	1			
K12600	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	SKI3, TTC37; superkiller protein 3	NP_177789.2	NP_177789.2; NP_001185412.1	1			
K12603	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT6, CCR4; CCR4-NOT transcription complex subunit 6 	NP_191415.2, NP_174435.2	NP_191415.2; NP_191417.2, NP_174435.2; NP_001323327.1; NP_001323328.1; NP_001077640.1; NP_973943.2; NP_001323329.1; NP_001323330.1; NP_973944.1	2			
K12604	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT1, NOT1; CCR4-NOT transcription complex subunit 1	NP_171710.4	NP_171710.4; NP_001184889.1; NP_001321578.1	1			
K12605	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT2, NOT2; CCR4-NOT transcription complex subunit 2	NP_563795.3	NP_563795.3; NP_001077478.1; NP_001329955.1; NP_001329954.1; NP_568912.2	1			
K12580	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT3, NOT3; CCR4-NOT transcription complex subunit 3	NP_568361.1	NP_568361.1; NP_001154716.1; NP_001330084.1; NP_001330085.1	1			
K10643	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT4, NOT4, MOT2; CCR4-NOT transcription complex subunit 4 	NP_180421.3, NP_190149.1, NP_200825.2	NP_180421.3; NP_001031437.2, NP_190149.1; NP_001327582.1, NP_200825.2; NP_001190578.1	3			
K12581	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8	NP_173044.1, NP_190012.1, NP_174103.1	NP_173044.1; NP_973838.1, NP_190012.1; NP_197617.1, NP_174103.1; NP_174110.1; NP_176342.1; NP_190010.1	3			
K12606	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	RC1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9	NP_180814.2	NP_180814.2; NP_001325240.1; NP_001318338.1	1			
K12608	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CAF16; CCR4-NOT complex subunit CAF16	NP_199224.1	NP_199224.1; NP_563694.1; NP_001032008.1; NP_001323416.1; NP_001323417.1; NP_001323418.1; NP_001078704.1; NP_001332312.1	1			
K14442	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	HX36, RHAU; ATP-dependent RNA helicase HX36 	NP_175298.2, NP_850255.1, NP_172152.1, NP_178223.2	NP_175298.2; NP_001154411.1, NP_850255.1; NP_001323636.1; NP_001323637.1, NP_172152.1; NP_001321998.1, NP_178223.2; NP_001325246.1	4			
K01148	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	PARN, PNLC1; poly(A)-specific ribonuclease 	NP_180415.1, NP_189170.1	NP_180415.1; NP_193043.2; NP_001327056.1; NP_001327057.1; NP_001327058.1; NP_001078207.1; NP_189171.2, NP_189170.1; NP_001325857.1	2			
K12613	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	CP2; mRNA-decapping enzyme subunit 2 	NP_196861.2	NP_196861.2; NP_001190304.1	1			
K12614	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	X6, RCK, HH1; ATP-dependent RNA helicase X6/HH1 	NP_182105.1	NP_182105.1; NP_191683.1; NP_974472.1; NP_191975.2; NP_849535.1	1			
K12617	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	PATL1, PAT1; NA topoisomerase 2-associated protein PAT1	NP_188866.1, NP_565199.1	NP_188866.1; NP_567452.2; NP_001328555.1, NP_565199.1; NP_001320315.1; NP_849904.1	2			
K12620	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	LSM1; U6 snRNA-associated Sm-like protein LSm1	NP_566476.1	NP_566476.1; NP_850580.1; NP_001326377.1; NP_001326378.1	1			
K04043	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	dnaK, HSPA9; molecular chaperone naK	NP_172382.4	NP_172382.4; NP_001184944.1; NP_198206.1; NP_001331824.1; NP_851119.1; NP_199017.2; NP_173055.1; NP_187864.1; NP_001189847.1; NP_001319509.1; NP_001319510.1; NP_187555.1; NP_195869.1; NP_195870.1; NP_176036.1; NP_196521.1; NP_001328002.1; NP_195504.2; NP_194159.1; NP_199802.1; NP_001119156.1	1	XP_001694468.2	XP_001694468.2; XP_001696432.1; XP_001701685.1; XP_001701884.2; XP_001701326.1	1
K04077	09123 Folding, sorting and degradation	03018 RNA degradation [PATH:ko03018]	groEL, HSP1; chaperonin GroEL	NP_850203.1, NP_173947.1	NP_850203.1; NP_001189665.1, NP_173947.1; NP_001185097.1; NP_001322215.1; NP_001319083.1; NP_001320637.1; NP_001320638.1; NP_001320639.1; NP_175945.1; NP_849811.1; NP_187956.1; NP_001032083.1; NP_200461.4; NP_001322216.1; NP_180367.1; NP_197383.1	2	XP_001692504.1	XP_001692504.1; XP_042915114.1; XP_042924464.1	1
K02335	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	polA; NA polymerase I 	NP_175498.2	NP_175498.2; NP_001321058.1; NP_188690.3; NP_001189942.1	1			
K07466	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	RFA1, RPA1, rpa; replication factor A1	NP_199353.1, NP_171877.1	NP_199353.1; NP_001328660.1; NP_567576.2, NP_171877.1; NP_194573.1; NP_565774.1; NP_564202.1; NP_563874.1; NP_849632.1; NP_849633.1; NP_001322201.1	2			
K04802	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	PCNA; proliferating cell nuclear antigen	NP_172217.1	NP_172217.1; NP_180517.1	1			
K10742	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	NA2; NA replication ATP-dependent helicase na2 	NP_001322072.1	NP_001322072.1; NP_001322073.1	1			
K04799	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	FEN1, RA2; flap endonuclease-1 	NP_850877.2	NP_850877.2; NP_001154740.1; NP_001332056.1; NP_001332057.1; NP_001332058.1	1	XP_001699242.1	XP_001699242.1; XP_042915762.1	1
K02320	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	POLA1; NA polymerase alpha subunit A 	NP_201511.2	NP_201511.2; NP_001331725.1	1			
K02685	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	PRI2; NA primase large subunit	NP_564893.2	NP_564893.2; NP_001185340.1; NP_001185339.1	1			
K02327	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	POL1; NA polymerase delta subunit 1 	NP_201201.2	NP_201201.2; NP_001190611.1	1			
K02328	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	POL2; NA polymerase delta subunit 2	NP_181742.2	NP_181742.2; NP_973664.1	1			
K02324	09124 Replication and repair	03030 DNA replication [PATH:ko03030]	POLE; NA polymerase epsilon subunit 1 	NP_172303.5	NP_172303.5; NP_001322767.1; NP_001325160.1; NP_001325161.1; NP_180280.2	1			
